position,name,height,foot,current league,current club,24/25 minutes,24/25 goals,24/25 games,24/25 assists,23/24 minutes,23/24 goals,23/24 games,23/24 assists,22/23 minutes,22/23 goals,22/23 games,22/23 assists,21/22 minutes,21/22 goals,21/22 games,21/22 assists,20/21 minutes,20/21 goals,20/21 games,20/21 assists,19/20 minutes,19/20 goals,19/20 games,19/20 assists,18/19 minutes,18/19 goals,18/19 games,18/19 assists,17/18 minutes,17/18 goals,17/18 games,17/18 assists,16/17 minutes,16/17 goals,16/17 games,16/17 assists
Central Midfield,Florian Neuhaus,185.0,right,Bundesliga,Borussia Mönchengladbach,156.0,0.0,7.0,0.0,1412.0,4.0,29.0,4.0,1500.0,2.0,24.0,0.0,2324.0,4.0,32.0,4.0,3625.0,8.0,45.0,8.0,2917.0,4.0,37.0,2.0,2208.0,4.0,34.0,10.0,2319.0,6.0,29.0,3.0,1218.0,2.0,21.0,1.0
Forward,Yann Kitala,186.0,left,Ligue 1,Le Havre AC,,,,,583.0,2.0,17.0,0.0,1349.0,2.0,32.0,5.0,1423.0,7.0,36.0,2.0,55.0,1.0,1.0,0.0,740.0,3.0,16.0,1.0,2127.0,12.0,27.0,2.0,1509.0,5.0,24.0,0.0,872.0,2.0,18.0,0.0
Right Winger,Mousa Tamari,178.0,left,Ligue 1,Montpellier HSC,398.0,0.0,7.0,0.0,1940.0,5.0,27.0,4.0,2956.0,6.0,36.0,6.0,2371.0,3.0,33.0,2.0,1687.0,1.0,30.0,2.0,2647.0,3.0,36.0,9.0,2620.0,10.0,32.0,1.0,626.0,6.0,7.0,0.0,,,,
Left Winger,Luis Rioja,176.0,left,LaLiga,Valencia CF,902.0,1.0,12.0,0.0,2617.0,5.0,39.0,4.0,3722.0,10.0,45.0,5.0,3202.0,2.0,39.0,6.0,2188.0,5.0,36.0,2.0,1702.0,0.0,29.0,0.0,3023.0,6.0,41.0,2.0,2471.0,5.0,33.0,0.0,819.0,0.0,16.0,0.0
Back,Theo Hernández,184.0,left,Serie A,AC Milan,1205.0,2.0,15.0,2.0,4055.0,5.0,46.0,11.0,3856.0,4.0,45.0,5.0,3554.0,5.0,41.0,10.0,3935.0,8.0,45.0,8.0,3099.0,7.0,36.0,5.0,2336.0,1.0,28.0,2.0,1648.0,0.0,23.0,3.0,3201.0,2.0,38.0,4.0
Forward,David Datro Fofana,180.0,right,Süper Lig,Göztepe,254.0,2.0,7.0,0.0,1855.0,6.0,32.0,2.0,979.0,5.0,16.0,1.0,1955.0,17.0,29.0,5.0,758.0,3.0,26.0,2.0,,,,,,,,,,,,,,,,
Attacking Midfield,Omri Gandelman,188.0,left,Jupiler Pro League,KAA Gent,1263.0,9.0,20.0,2.0,2477.0,13.0,45.0,7.0,2594.0,8.0,34.0,0.0,3002.0,2.0,36.0,0.0,2228.0,1.0,34.0,1.0,399.0,0.0,6.0,0.0,,,,,,,,,,,,
Right Winger,Massimo Bruno,178.0,right,Jupiler Pro League,KV Kortrijk,473.0,0.0,10.0,0.0,1404.0,1.0,32.0,3.0,1408.0,6.0,25.0,2.0,1975.0,6.0,29.0,7.0,721.0,2.0,20.0,0.0,2295.0,5.0,27.0,6.0,2373.0,5.0,36.0,10.0,881.0,2.0,23.0,3.0,1697.0,6.0,40.0,5.0
Forward,Billal Messaoudi,184.0,right,Jupiler Pro League,KV Kortrijk,213.0,0.0,9.0,0.0,1195.0,5.0,25.0,7.0,1787.0,3.0,33.0,1.0,1043.0,1.0,19.0,3.0,1958.0,21.0,24.0,5.0,1529.0,3.0,20.0,1.0,119.0,0.0,1.0,0.0,57.0,0.0,3.0,0.0,,,,
Central Midfield,Fabián Ruiz,189.0,left,Ligue 1,Paris Saint-Germain,782.0,1.0,16.0,1.0,2240.0,3.0,35.0,7.0,2281.0,3.0,37.0,3.0,2800.0,7.0,38.0,5.0,3055.0,4.0,42.0,1.0,3671.0,4.0,46.0,6.0,3085.0,7.0,40.0,3.0,2753.0,3.0,35.0,6.0,1507.0,1.0,23.0,2.0
Forward,Dimitris Rallis,,right,Eredivisie,SC Heerenveen U21,312.0,2.0,11.0,0.0,1668.0,7.0,25.0,1.0,2441.0,15.0,30.0,1.0,1271.0,9.0,18.0,0.0,109.0,0.0,3.0,0.0,55.0,0.0,2.0,1.0,,,,,,,,,,,,
Forward,Dardan Shabanhaxhaj,183.0,right,Premier Liga,Rubin Kazan,894.0,2.0,16.0,1.0,2100.0,7.0,30.0,4.0,1463.0,1.0,30.0,2.0,1881.0,6.0,28.0,4.0,745.0,2.0,24.0,0.0,478.0,2.0,15.0,0.0,1713.0,11.0,21.0,0.0,347.0,2.0,13.0,0.0,23.0,0.0,1.0,0.0
Right Winger,Amath Ndiaye,173.0,right,LaLiga,Real Valladolid CF,385.0,0.0,7.0,1.0,1195.0,5.0,28.0,2.0,1345.0,2.0,31.0,1.0,996.0,0.0,21.0,1.0,2296.0,9.0,31.0,1.0,60.0,0.0,7.0,0.0,1010.0,1.0,15.0,2.0,2989.0,3.0,39.0,3.0,3189.0,13.0,41.0,4.0
Left Winger,Mathias Honsak,188.0,left,Bundesliga,1.FC Heidenheim 1846,599.0,2.0,15.0,3.0,1089.0,1.0,24.0,1.0,870.0,6.0,16.0,1.0,1607.0,3.0,32.0,3.0,1748.0,5.0,30.0,6.0,1137.0,2.0,24.0,2.0,1346.0,4.0,28.0,5.0,1963.0,7.0,28.0,3.0,1670.0,3.0,24.0,3.0
Forward,Jeff Ekhator,,right,Serie A,Genoa CFC,451.0,1.0,12.0,1.0,2650.0,14.0,40.0,10.0,2153.0,16.0,26.0,10.0,134.0,2.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,
Defensive Midfield,Mats Rits,178.0,right,Jupiler Pro League,RSC Anderlecht,1659.0,1.0,20.0,2.0,3265.0,1.0,41.0,1.0,1243.0,2.0,21.0,2.0,3241.0,9.0,45.0,7.0,3380.0,2.0,44.0,3.0,2736.0,6.0,35.0,2.0,3664.0,3.0,48.0,4.0,2759.0,4.0,31.0,7.0,3389.0,5.0,38.0,7.0
Left Winger,Álex Bermejo,183.0,right,Liga Portugal,SC Farense,483.0,3.0,10.0,0.0,1361.0,7.0,40.0,2.0,2538.0,4.0,39.0,1.0,2087.0,2.0,33.0,0.0,1230.0,3.0,24.0,0.0,1423.0,6.0,28.0,2.0,1983.0,5.0,32.0,0.0,12.0,0.0,1.0,0.0,1739.0,3.0,22.0,0.0
Back,Loïc Nego,181.0,right,Ligue 1,Le Havre AC,722.0,0.0,11.0,0.0,1751.0,0.0,31.0,5.0,2618.0,1.0,34.0,5.0,3049.0,3.0,36.0,11.0,3285.0,6.0,37.0,3.0,2930.0,6.0,37.0,3.0,4898.0,9.0,57.0,12.0,3537.0,6.0,42.0,5.0,3530.0,2.0,40.0,8.0
Attacking Midfield,Giovanni Fabbian,186.0,right,Serie A,Bologna FC 1909,714.0,1.0,16.0,0.0,1263.0,5.0,29.0,2.0,2992.0,8.0,38.0,1.0,2716.0,9.0,39.0,5.0,1047.0,5.0,16.0,0.0,858.0,5.0,13.0,0.0,148.0,0.0,3.0,0.0,,,,,,,,
Attacking Midfield,Kristian Hlynsson,179.0,right,Eredivisie,Ajax Amsterdam,435.0,2.0,10.0,1.0,2953.0,10.0,41.0,3.0,3177.0,11.0,37.0,9.0,2825.0,5.0,40.0,6.0,499.0,4.0,11.0,2.0,104.0,1.0,4.0,0.0,6.0,0.0,1.0,0.0,,,,,,,,
